"x"
"SpreadScaledMarkup"
"NUMOFDEALERS"
"DV01ScaledMarkup"
"NominalMarkup"
"IssuerRegionLATAM"
"NOMINALQTY"
"PXESPREAD"
"TRADERDESKEmerging Markets"
"YTM"
"ConsensusDefaultRate"
"MARKETIDMAXESS"
"DV01"
"BuySellRatioCURRENCY"
"DEALTYPECompCash"
"BuySellRatioCPLOCATION"
"TRADERDESKHigh Grade"
"BuySellRatioINSTRUMENTGROUP"
"BuySellRatioISSUERINDUSTRY"
"BuySellRatioISSUERCOUNTRY"
"BuySellRatioIssuerRegion"
"BuySellRatioASSETSECTOR"
"ZScoreCPMEMBER"
"BuySellRatioASSETCLASS"
"BuySellRatioConsensusGrade"
"IssuerRegionEMEA"
"BuySellRatioCptyRegion"
"ISSUERCOUNTRYIT"
"ZScoreISSUERCOUNTRY"
"ZScoreCPLOCATION"
"ZScoreISSUERINDUSTRY"
"CPTIER1"
"ZScoreINSTRUMENTGROUP"
"ZScoreCURRENCY"
"ZScoreASSETSECTOR"
"ISSUERCOUNTRYAR"
"ZScoreConsensusGrade"
"ZScoreIssuerRegion"
"ZScoreASSETCLASS"
"TRADERDESKGOVIES"
"ZScoreCptyRegion"
"CPTIER3"
"MARKETIDTRADEWEB_EUCORP"
"SETTLDAYS"
"CPLOCATIONITALY"
"BuySellRatioCPMEMBER"
"VERBSell"
"INSTRUMENTGROUPFinancial"
"CPTIER4"
"CURRENCYUSD"
"CptyRegionEMEA"
"CPLOCATIONSPAIN"
"ASSETSECTOROther_Class"
"MARKETIDBONDVISION"
"MARKETIDTRADEWEB"
"HourOfDay"
"CPLOCATIONSWITZERLAND"
"ASSETSECTORFloaters"
"CptyIssuerRegionMatch"
"CPTIER2"
"INSTRUMENTGROUPUtilities"
"CURRENCYEUR"
"MARKETIDTRADEWEB_PFAN"
"INSTRUMENTGROUPEnergy"
"ISSUERINDUSTRYFINANCIAL"
"ISSUERINDUSTRYGOVT NATIONAL"
"ISSUERCOUNTRYIE"
"ASSETSECTORSupranationals"
"INSTRUMENTGROUPCommunications"
"ISSUERCOUNTRYDE"
"DayOfWeek"
"ASSETCLASSGovt"
"ISSUERINDUSTRYTELEPHONE"
"TRADERDESKRETAIL"
"CPLOCATIONFRANCE"
"INSTRUMENTGROUPIndustrial"
"CURRENCYGBP"
"ASSETSECTOREuroGovt"
"CPLOCATIONGERMANY"
"MATURITYBUCKET30Y+"
"ISSUERINDUSTRYUTILITY - ELEC"
"ISSUERCOUNTRYFR"
"CPLOCATIONIRELAND"
"TRADERDESKLinkers"
"ISSUERCOUNTRYUS"
"ASSETSECTORSovereign"
"ISSUERCOUNTRYNL"
"ISSUERINDUSTRYINDUSTRIAL"
"CPLOCATIONUNITED STATES"
"MATURITYBUCKET05Y"
"CPLOCATIONDENMARK"
"CURRENCYZAR"
"INSTRUMENTGROUPGovernment"
"ISSUERCOUNTRYES"
"TRADERDESKFloaters"
"ISSUERINDUSTRYSPECIAL PURPOSE"
"ConsensusGradeNon-Investment"
"MATURITYBUCKET30Y"
"MATURITYBUCKET10Y"
"ISSUERCOUNTRYVE"
"ISSUERCOUNTRYSNAT"
