"x"
"(Intercept)"
"ISSUERCOUNTRYAL"
"ISSUERCOUNTRYAM"
"ISSUERCOUNTRYAR"
"ISSUERCOUNTRYAT"
"ISSUERCOUNTRYAU"
"ISSUERCOUNTRYAZ"
"ISSUERCOUNTRYBE"
"ISSUERCOUNTRYBG"
"ISSUERCOUNTRYBM"
"ISSUERCOUNTRYBO"
"ISSUERCOUNTRYBR"
"ISSUERCOUNTRYBY"
"ISSUERCOUNTRYCA"
"ISSUERCOUNTRYCH"
"ISSUERCOUNTRYCI"
"ISSUERCOUNTRYCL"
"ISSUERCOUNTRYCO"
"ISSUERCOUNTRYCR"
"ISSUERCOUNTRYCW"
"ISSUERCOUNTRYCY"
"ISSUERCOUNTRYCZ"
"ISSUERCOUNTRYDE"
"ISSUERCOUNTRYDK"
"ISSUERCOUNTRYDO"
"ISSUERCOUNTRYEC"
"ISSUERCOUNTRYEG"
"ISSUERCOUNTRYES"
"ISSUERCOUNTRYFI"
"ISSUERCOUNTRYFR"
"ISSUERCOUNTRYGA"
"ISSUERCOUNTRYGB"
"ISSUERCOUNTRYGG"
"ISSUERCOUNTRYGR"
"ISSUERCOUNTRYGT"
"ISSUERCOUNTRYHN"
"ISSUERCOUNTRYHR"
"ISSUERCOUNTRYHU"
"ISSUERCOUNTRYIE"
"ISSUERCOUNTRYIS"
"ISSUERCOUNTRYIT"
"ISSUERCOUNTRYJE"
"ISSUERCOUNTRYKY"
"ISSUERCOUNTRYKZ"
"ISSUERCOUNTRYLT"
"ISSUERCOUNTRYLU"
"ISSUERCOUNTRYLV"
"ISSUERCOUNTRYMA"
"ISSUERCOUNTRYMN"
"ISSUERCOUNTRYMX"
"ISSUERCOUNTRYNG"
"ISSUERCOUNTRYNL"
"ISSUERCOUNTRYNO"
"ISSUERCOUNTRYNZ"
"ISSUERCOUNTRYPE"
"ISSUERCOUNTRYPH"
"ISSUERCOUNTRYPL"
"ISSUERCOUNTRYPT"
"ISSUERCOUNTRYPY"
"ISSUERCOUNTRYRO"
"ISSUERCOUNTRYRS"
"ISSUERCOUNTRYRU"
"ISSUERCOUNTRYRW"
"ISSUERCOUNTRYSE"
"ISSUERCOUNTRYSI"
"ISSUERCOUNTRYSK"
"ISSUERCOUNTRYSNAT"
"ISSUERCOUNTRYTR"
"ISSUERCOUNTRYTZ"
"ISSUERCOUNTRYUA"
"ISSUERCOUNTRYUS"
"ISSUERCOUNTRYUY"
"ISSUERCOUNTRYVE"
"ISSUERCOUNTRYVG"
"ISSUERCOUNTRYZA"
"CPLOCATIONANDORRA"
"CPLOCATIONARAB EMIRATES"
"CPLOCATIONARGENTINA"
"CPLOCATIONAUSTRALIA"
"CPLOCATIONAUSTRIA"
"CPLOCATIONBAHAMAS"
"CPLOCATIONBELGIUM"
"CPLOCATIONBRAZIL"
"CPLOCATIONBULGARIA"
"CPLOCATIONCHILE"
"CPLOCATIONCROATIA"
"CPLOCATIONCYPRUS"
"CPLOCATIONCZECH REPUBLIC"
"CPLOCATIONDENMARK"
"CPLOCATIONESTONIA"
"CPLOCATIONFINLAND"
"CPLOCATIONFRANCE"
"CPLOCATIONGERMANY"
"CPLOCATIONGREECE"
"CPLOCATIONHUNGARY"
"CPLOCATIONIRELAND"
"CPLOCATIONISRAEL"
"CPLOCATIONITALY"
"CPLOCATIONJERSEY, CH"
"CPLOCATIONLATVIA"
"CPLOCATIONLIECHTENSTEIN"
"CPLOCATIONLITHUANIA"
"CPLOCATIONLUXEMBOURG"
"CPLOCATIONMALTA"
"CPLOCATIONMONACO"
"CPLOCATIONNETHERLANDS"
"CPLOCATIONNORWAY"
"CPLOCATIONPANAMA"
"CPLOCATIONPERU"
"CPLOCATIONPOLAND"
"CPLOCATIONPORTUGAL"
"CPLOCATIONROMANIA"
"CPLOCATIONSINGAPORE"
"CPLOCATIONSLOVAKIA"
"CPLOCATIONSLOVENIA"
"CPLOCATIONSPAIN"
"CPLOCATIONSWEDEN"
"CPLOCATIONSWITZERLAND"
"CPLOCATIONUNITED KINGDOM"
"CPLOCATIONUNITED STATES"
"CPLOCATIONURUGUAY"
"ASSETCLASSGovt"
"ASSETSECTOREuroGovt"
"ASSETSECTORFloaters"
"ASSETSECTORLinkers"
"ASSETSECTOROther_Class"
"ASSETSECTORSovereign"
"ASSETSECTORSupranationals"
"CPTIER1"
"CPTIER2"
"CPTIER3"
"CPTIER4"
"CPTIER5"
"CPTIERbroker"
"CPTIERPriority  EM  "
"CPTIERSemipro"
"CURRENCYCAD"
"CURRENCYCHF"
"CURRENCYCNY"
"CURRENCYDEM"
"CURRENCYEUR"
"CURRENCYGBP"
"CURRENCYHUF"
"CURRENCYITL"
"CURRENCYJPY"
"CURRENCYMXN"
"CURRENCYNOK"
"CURRENCYNZD"
"CURRENCYPLN"
"CURRENCYRUB"
"CURRENCYSEK"
"CURRENCYTRY"
"CURRENCYUSD"
"CURRENCYZAR"
"DEALTYPECompCash"
"DV01"
"INSTRUMENTGROUPCommunications"
"INSTRUMENTGROUPConsumer, Cyclical"
"INSTRUMENTGROUPConsumer, Non-cyclical"
"INSTRUMENTGROUPDiversified"
"INSTRUMENTGROUPEnergy"
"INSTRUMENTGROUPFinancial"
"INSTRUMENTGROUPGovernment"
"INSTRUMENTGROUPIndustrial"
"INSTRUMENTGROUPTechnology"
"INSTRUMENTGROUPUtilities"
"ISSUERINDUSTRYFINANCIAL"
"ISSUERINDUSTRYGAS TRANSMISSION"
"ISSUERINDUSTRYGOVT AGENCY"
"ISSUERINDUSTRYGOVT NATIONAL"
"ISSUERINDUSTRYGOVT REGIONAL"
"ISSUERINDUSTRYINDUSTRIAL"
"ISSUERINDUSTRYSPECIAL PURPOSE"
"ISSUERINDUSTRYSUPRA-NATIONAL"
"ISSUERINDUSTRYTELEPHONE"
"ISSUERINDUSTRYTRANS - NON RAIL"
"ISSUERINDUSTRYTRANS - RAIL"
"ISSUERINDUSTRYUTILITY - ELEC"
"ISSUERINDUSTRYUTILITY - GAS"
"MARKETIDBONDVISION"
"MARKETIDMAXESS"
"MARKETIDTRADEWEB"
"MARKETIDTRADEWEB_EUCORP"
"MARKETIDTRADEWEB_EUGV"
"MARKETIDTRADEWEB_PFAN"
"MATURITYBUCKET05Y"
"MATURITYBUCKET10Y"
"MATURITYBUCKET30Y"
"MATURITYBUCKET30Y+"
"MATURITYBUCKETEUR_10Y"
"MATURITYBUCKETEUR_2Y"
"MATURITYBUCKETEUR_30Y"
"MATURITYBUCKETEUR_5Y"
"MATURITYBUCKETUSD_10Y"
"MATURITYBUCKETUSD_2Y"
"MATURITYBUCKETUSD_30Y"
"MATURITYBUCKETUSD_5Y"
"NOMINALQTY"
"NUMOFDEALERS"
"SETTLDAYS"
"TRADERDESKEmerging Markets"
